CUSTOMER_SK,NO_OF_PRODUCT,DISTINCT_PRODUCT,TOTAL_REVENUE,NO_OF_VISIT,AVERAGE_PRICE,PERCENTAGE_BASKETS_WEEKEND
51829265,570,250,2534.46967,21,4.029446902,15.0476
59564896,555,302,2524.69944,35,3.925507505,0
21656683,546,337,2524.20972,35,4.049068536,9.2857
58234395,671,316,2520.29971,38,3.4002812,7.0263
60484821,572,382,2514.23962,51,4.161197889,2.2549
61813890,525,290,2508.37952,12,4.190415969,16.5
23625408,549,406,2505.36957,26,4.263606835,4.1154
22300853,671,357,2491.29994,65,3.787590973,6.3692
59921275,532,288,2490.65952,38,3.934712298,0.3158
58358415,610,325,2487.57993,19,3.884244557,26.8421
21388456,462,227,2482.08926,46,3.682437574,0.9565
20698259,509,353,2480.31958,34,4.170731777,9.0294
60326154,543,275,2477.96968,38,4.100896556,3.7895
34438715,600,224,2474.28981,71,4.113709321,0.9014
59500430,485,310,2467.38939,64,4.759586808,2
60623136,601,232,2461.51971,41,3.776561742,1.7561
33444987,676,357,2460.26976,61,3.542264215,5.2951
21123450,701,382,2459.53976,44,3.278354796,6.8409
64921775,512,368,2458.75934,32,4.305199498,1.875
58836509,492,238,2457.99921,40,3.52922349,1.15
59427920,824,435,2454.54963,60,2.587290861,4.2333
21476196,535,304,2453.77947,40,4.153871125,2.7
58501745,568,396,2450.03959,77,3.563315852,1.4416
23743254,601,321,2444.9698,20,4.071289188,0.35
21569991,490,401,2441.55955,20,4.505934657,1.75
23278412,649,338,2439.26978,19,3.257681445,34.1579
21619730,541,372,2434.87948,28,4.200770765,10.75
20688412,555,242,2433.8296,54,3.840056459,2.037
20718561,607,276,2428.66969,37,3.49154685,13
59503350,658,285,2427.1097,66,3.589655508,1.0909
60641249,532,236,2426.99948,34,4.200329943,11.0294
62319212,518,226,2424.04957,18,4.261059976,0
58896056,557,353,2413.92965,56,4.187054892,4.1071
60298425,667,339,2413.9098,23,3.220151444,20.5217
40035819,440,256,2411.08936,12,4.421459159,32.6667
36791222,483,319,2409.63962,27,4.152585787,4
38981350,568,237,2401.79969,24,3.975554058,2.0417
59035790,585,339,2400.44978,68,4.021525212,3.0147
22242219,559,275,2386.71964,57,3.968944258,2.6667
21635263,523,305,2366.0896,46,3.926273375,3.1522
22981918,574,244,2362.53979,31,3.824090589,4
34920290,497,256,2356.36926,86,4.613154853,1.6395
39630131,682,327,2348.75978,58,3.214525607,3.1207
34917312,563,335,2342.35967,35,3.853489934,4.7714
58650481,544,283,2340.74955,42,3.862223521,4.4286
21688304,777,395,2338.84975,88,3.003516468,2.8295
58983522,561,353,2333.06964,60,3.948558584,1.85
21015957,417,335,2327.1393,10,4.56618979,11.2
59618282,557,311,2323.92988,18,3.920087379,17.0556
22848790,547,282,2322.38966,55,3.873653909,2.5818
25763791,524,356,2321.49952,45,4.334513646,4.1333
51288842,523,364,2318.01977,62,4.195885939,3.129
59567857,514,149,2316.59941,44,3.76616069,0.5455
61786992,604,144,2312.64949,94,3.264646154,1.3723
28665932,511,270,2310.46969,37,4.127386908,0.9189
21155118,575,260,2304.19979,117,3.527955038,0.5385
58258258,531,244,2303.86959,65,3.831124647,2.4769
53712438,477,324,2302.37954,29,4.357734573,3.7931
58338206,563,339,2299.45981,30,3.797822272,3.0333
59609429,544,218,2296.92956,56,4.206260028,2.0714
40173104,420,149,2295.53955,18,5.053595586,21.8889
59080575,560,297,2294.09965,67,3.830457244,1.3731
